beat,duration,pitch,tie,midi,ref_ts,live_ts
178.0,0.5,A3,no,57,106.8,106.8
178.5,0.5,B3,no,59,107.1,107.1
179.0,1.0,C4,no,60,107.4,107.4
180.0,1.0,F#3,no,54,108,108
181.0,1.0,D3,no,50,108.6,108.6
182.0,1.0,D4,no,62,109.2,109.2
183.0,1.0,C4,no,60,109.8,109.8
184.0,2.0,B3,no,59,110.4,110.4
186.0,2.0,A3,no,57,111.6,111.6
188.0,4.0,G3,no,55,112.8,112.8
